,precision,recall,f1-score,support
0,0.42424242424242425,0.5384615384615384,0.47457627118644075,78.0
1,0.6363636363636364,0.525,0.5753424657534246,120.0
accuracy,0.5303030303030303,0.5303030303030303,0.5303030303030303,0.5303030303030303
macro avg,0.5303030303030303,0.5317307692307692,0.5249593684699327,198.0
weighted avg,0.5528007346189164,0.5303030303030303,0.5356466921361279,198.0
